STR,RES,import,dom,kuro,mark1,mark2,iprice,dprice,kprice
805,0,0,0,0,0,0,0,0,0
806,0,1,0,0,0,0,98,0,0
806,0,0,1,0,0,0,0,264,0
806,1,0,0,1,0,0,0,0,382
806,0,0,0,0,0,0,0,0,0
807,0,1,0,0,0,0,150,0,0
807,0,0,1,0,0,0,0,128,0
807,1,0,0,1,1,0,0,0,344
807,0,0,0,0,0,0,0,0,0
808,0,1,0,0,0,0,202,0,0
808,0,0,1,0,0,0,0,298,0
808,1,0,0,1,0,1,0,0,458
808,0,0,0,0,0,0,0,0,0
809,0,1,0,0,0,0,124,0,0
809,0,0,1,0,0,0,0,196,0
809,1,0,0,1,0,0,0,0,420
809,0,0,0,0,0,0,0,0,0
901,0,1,0,0,0,0,98,0,0
901,1,0,1,0,0,0,0,230,0
901,0,0,0,1,1,0,0,0,458
901,0,0,0,0,0,0,0,0,0
902,0,1,0,0,0,0,176,0,0
902,1,0,1,0,0,0,0,162,0
902,0,0,0,1,0,1,0,0,344
902,0,0,0,0,0,0,0,0,0
903,0,1,0,0,0,0,124,0,0
903,0,0,1,0,0,0,0,162,0
903,1,0,0,1,0,0,0,0,268
903,0,0,0,0,0,0,0,0,0
904,0,1,0,0,0,0,228,0,0
904,1,0,1,0,0,0,0,196,0
904,0,0,0,1,1,0,0,0,306
904,0,0,0,0,0,0,0,0,0
905,0,1,0,0,0,0,150,0,0
905,1,0,1,0,0,0,0,230,0
905,0,0,0,1,0,1,0,0,420
905,0,0,0,0,0,0,0,0,0
906,1,1,0,0,0,0,98,0,0
906,0,0,1,0,0,0,0,264,0
906,0,0,0,1,0,0,0,0,382
906,0,0,0,0,0,0,0,0,0
907,0,1,0,0,0,0,150,0,0
907,1,0,1,0,0,0,0,128,0
907,0,0,0,1,1,0,0,0,344
907,0,0,0,0,0,0,0,0,0
908,0,1,0,0,0,0,202,0,0
908,1,0,1,0,0,0,0,298,0
908,0,0,0,1,0,1,0,0,458
908,0,0,0,0,0,0,0,0,0
909,1,1,0,0,0,0,124,0,0
909,0,0,1,0,0,0,0,196,0
909,0,0,0,1,0,0,0,0,420
909,0,0,0,0,0,0,0,0,0
1001,1,1,0,0,0,0,98,0,0
1001,0,0,1,0,0,0,0,230,0
1001,0,0,0,1,1,0,0,0,458
1001,0,0,0,0,0,0,0,0,0
1002,0,1,0,0,0,0,176,0,0
1002,1,0,1,0,0,0,0,162,0
1002,0,0,0,1,0,1,0,0,344
1002,0,0,0,0,0,0,0,0,0
1003,1,1,0,0,0,0,124,0,0
1003,0,0,1,0,0,0,0,162,0
1003,0,0,0,1,0,0,0,0,268
1003,0,0,0,0,0,0,0,0,0
1004,0,1,0,0,0,0,228,0,0
1004,1,0,1,0,0,0,0,196,0
1004,0,0,0,1,1,0,0,0,306
1004,0,0,0,0,0,0,0,0,0
1005,1,1,0,0,0,0,150,0,0
1005,0,0,1,0,0,0,0,230,0
